Taxon,Cluster
5767_T1,2
4009_T1,2
5647_T0,2
276_T1,2
4747_T1,2
5767_T0,2
5448_T0,2
1170_T0,2
539_T1,4
4986_T1,4
3344_T0,4
1415_T0,4
1676_T1,4
5911_T1,4
5328_T1,4
1676_T0,4
1415_T1,4
3344_T1,4
5911_T0,4
5485_T0,4
5631_T1,6
3997_T0,6
4875_T1,6
5047_T1,6
1992_T0,6
5390_T0,6
3997_T1,6
4875_T0,6
276_T0,6
4009_T0,6
3357_T1,6
1992_T1,6
5047_T0,6
5308_T0,6
5328_T0,6
4986_T0,6
2911_T1,1
5647_T1,1
5728_T0,1
1170_T1,1
5728_T1,1
5562_T0,3
5562_T1,3
4784_T0,3
3357_T0,3
4784_T1,3
5308_T1,7
5469_T1,7
5060_T0,7
5060_T1,7
5448_T1,7
5519_T1,25
5519_T0,25
4681_T0,27
4681_T1,27
420_T1,27
420_T0,27
5142_T1,22
5142_T0,22
5503_T1,22
4747_T0,13
2911_T0,23
5503_T0,26
5469_T0,26
539_T0,15
5390_T1,18
5485_T1,32
5631_T0,33
